"","Country","Count"
"1","Andorra",1
"2","Austria",10
"3","Belgium",99
"4","Brazil",8
"5","Croatia",10
"6","Czech Republic",2
"7","Denmark",18
"8","Finland",7
"9","France",510
"10","Germany",271
"11","Greece",5
"12","Hong Kong",44
"13","Hungary",7
"14","Iceland",1
"15","Ireland",14
"16","Italy",324
"17","Japan",177
"18","Luxembourg",8
"19","Macau",7
"20","Malta",5
"21","Netherlands",91
"22","Norway",9
"23","Poland",1
"24","Portugal",26
"25","San Marino",1
"26","Singapore",40
"27","Slovenia",5
"28","South Korea",9
"29","Spain",181
"30","Sweden",14
"31","Switzerland",90
"32","Thailand",23
"33","United Kingdom",150
"34","United States",148
